song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
All I Want For Christmas Is You,Mariah Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,?,,,,,,,,,,,,,,,,
All Star,Smash Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All The Small Things,Blink-182,G,,A,,G,,,G,A,,G,G,A,G,A,,,,,A,,G,A,,,,A,,A,G,A,,A,,,,,G,,,,,,G,G,A,G,,G,,,G,G,,,,,,G,,A,,G,,,G,,,G,,A,,,G,G,,,A,A,G,A,G,G,G,G,A,A,G,G,A,?,,G,,G,A,?,?,?,A,?,?,?,?,,,,?,?,,?,,?,?,,,,,,?,?
All These Things That I've Done,The Killers,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,G,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,?,,,,,?,
Alright,Supergrass,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,G,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,G,,,,,A,A,?,,,,,,,,,A,,,?,,,,,,,,,,,,,,,,,?,
Always Look on the Bright Side of Life,Monty Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,?,,,,,,,,,,,,,,?,,,,,?,,,,
Angels,Robbie Williams,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,G,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,A,,,,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,?,,,?,,,,,,,,?,,,,,,,,
Anyone Else But You,The Moldy Peaches,,,,,G,,,,,,,,,,,,,,,,G,,,,,,,,,,,G,,,,G,,G,,A,,,,,,,,,,,,,,,,,G,,,,,,,,,G,,,,,,,,,,A,,,,,G,,,,,,,,,,,,,?,G,,,,,,,?,,,,?,,,,,,,,,,,?,,,?,
Baby One More Time,Britney Spears,,,,,,A,A,,A,A,,,,A,,,,,A,,,,,,,,,,,,,,,A,,,A,,A,,,,,,,A,A,A,,A,,,,,,,,,A,,,,,,,,,A,A,,A,A,A,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,
Back for Good,Take That,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,?,,,,?
Bad Moon Rising,Creedence Clearwater Revival,,G,,A,,,,,G,,,G,,G,,G,,G,,G,,,A,,,,A,,G,,,G,,G,,,,G,,,A,,,,,,,,A,,,G,A,,,,,,G,,,A,,,G,,A,G,G,A,,G,A,,,,,A,,G,,,,,G,G,,,,,,,G,,,,?,,,A,?,,?,?,,,,?,,,,?,?,,,?,?,?,?,,
Basket Case,Green Day,,,,,,,,,,,,,A,,,A,A,,,,,,,A,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,A,A,G,,,G,,,A,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Ciao,Fonola Band,,,,,,,,,,,,,,,,,,,,,,,,,,G,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,Weezer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Yellow Taxi,Joni Mitchell,,,,,,,,,,,,,,,,,G,,,,,G,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitch,Meredith Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Horse And The Cherry Tree,KT Tunstall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzkrieg Bop,Ramones,,,,,A,,,A,,,,,,,,,G,,,,,,A,,,,,,A,A,,,,,,,,,A,A,,,,G,,,,,,,A,,A,A,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,A,A,,,G,,,,A,?,,,,,?,,?,,,,,,,,,,,,,?,?,,?,?,?,?,
Blue Suede Shoes,Elvis Presley,,,,,,,A,,,,G,,,,,A,,,,A,,,,,,,,G,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,G,,,,,A,,,,,,,,A,,,?,,,?,,,,?,,,,?,,,?,,,?,,,,,,?,,?,?,,,,?
Bohemian Like You,The Dandy Warhols,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,?,,,,,,?,,,,,,,,,?,?,,,,?,?,,,
Bongo Bong / Je ne t'aime plus,Manu Chao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boom, Boom, Boom, Boom!!",Vengaboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris The Spider,The Who,,A,A,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Born in the U.S.A.,Bruce Springsteen,,,,,,G,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to be Wild,Steppenwolf,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,A,,,,G,,,A,,A,,,,,,,,,,,,,,,G,,,G,,,A,,G,A,,,A,?,,,,,?,,?,,,?,,,,,?,,,,,?,?,,?,,,?,
Brown Eyed Girl,Van Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Me Up Buttercup,The Foundations,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,A,,,,,,,A,,,,,,,,,,,,,,,,A,,A,A,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,?,,,,?,,,,,,,?,?,,,,,,,,?,?,,,
Burn The Witch,Queens Of The Stone Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C'est la Vie,B*Witched,,,,,,A,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,,,,,,A,,,,,,,,G,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Californication,Red Hot Chilli Peppers,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me,Blondie,,,,,,,,,,,,,,,,A,,,A,,,G,,,,,,,,,,,G,,,,,,,,,,A,,,,A,A,G,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't Get You out of My Head,Kylie Minogue,,,,A,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,G,,,P,,,,A,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy,Paolo Nutini,,G,,,,A,A,,,,,,A,,A,,,A,,,,A,,,A,A,,,,,,,,,,,,,A,,A,A,G,A,,A,,,,,,,,,,,A,,,A,,,,,,,,,,A,A,,,,A,,,A,,,,,,A,A,,,A,,,,,,,A,,,,,A,,,,,,,?,,?,?,,,,,?,?,,,,?,
Chasing Cars,Snow Patrol,,,,A,,,,G,,A,,A,,,,,,,G,,,,A,,,A,A,,,A,A,G,A,A,,G,,,G,,,,,,A,,,A,,,,A,,,A,,,,,,A,,A,A,,A,,,,,A,,A,,,,,,,,,,A,A,,A,,A,,,?,,A,?,G,A,?,,,,,,,,,?,,,,,,?,,,,,,,,,?
Cheap Thrills,Sia,A,,,A,A,,,A,,,,,,,,A,A,,,,,,,A,,A,A,A,A,,,,A,A,A,,G,,,,,,,,,,,,A,,,,,A,,,A,,,,A,,G,A,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas (Baby Please Come Home),U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas In Las Vegas,Richard Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,
Complicated,Avril Lavigne,,,,,,,,,,A,,,,,A,A,,,G,,,A,,,,,,,A,,,,,,,A,,,,A,,,,,,,,,A,,A,,,A,A,,,,,,A,,,,A,,,,A,,A,A,A,A,,,,,A,,,A,,,,,,,,,,A,,?,,,,,?,,,,,,,,,,,,,?,?,,,,,,?,,?
"Comptine d'un autre été, l'après-midi",Yann Tiersen,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy World,Aslan,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,G,,,,,,G,,,,G,,,,A,A,,,,,,,,,,A,,A,,,,,,,A,,,A,,,,,,,A,A,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creep,Radiohead,,A,,,A,,A,,,G,,A,,A,A,,,A,,,,A,,A,A,A,G,A,A,,,,,,A,A,,,A,G,A,,A,,,,A,A,A,A,,A,,A,A,,,A,A,,,A,A,,A,,,A,G,,A,,A,A,A,,,A,G,A,A,,,,A,,A,A,,,,,A,?,A,,?,?,,,?,?,,,?,,,,,?,?,?,,,,,,,,,
Crocodile Rock,Elton John,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Summer,Taylor Swift,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crush,Jennifer Paige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danger! High Voltage (Soulchild radio mix),Electric 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearg Doom,Horslips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demons,Imagine Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Dirty Old Town,The Pogues,,,,,,,,A,A,,,,A,,,,A,A,,,,A,A,A,,,,A,,G,,,A,,,A,,,A,A,G,A,A,,A,A,A,,A,G,,,A,,A,A,,,,A,G,G,,,,,,,A,G,,,,,A,,,,,,,,,A,A,,,A,,,?,,G,,,,?,?,,A,,,?,?,,,,?,?,,?,,?,,?,,,,,,?
Do They Know It's Christmas?,Band Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,
Dog Days Are Over,Florence + The Machine,,,A,,A,,,,,,A,,,,A,A,G,A,,,,A,,A,,A,A,A,A,,A,G,A,G,,,A,,,,,,A,,,,G,,G,,,A,,A,A,A,,,,A,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Be a Dick at Christmas,Seán Carabini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,,,,,,,
Don't Speak,No Doubt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Stop Me Now,Queen,,,,A,,,,A,,,,,,A,,,G,,A,,A,,,,A,,,,A,,,,,,,,,,,,,,A,,,,A,,,,,,,A,,,,,A,,,,,,,,,A,A,A,A,A,G,,,A,,,P,,A,,,,,,,A,,,,,,,,,?,,,A,,,,,?,,,,,,,?,,?,,,?,?,?,,
Don't Worry Be Happy,Bobby McFerrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't You (Forget About Me),Simple Minds,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,G,,,,,G,,,,G,,,G,,,,,G,G,,A,,,,G,,,,,G,?,,A,?,G,,?,?,?,G,?,,,?,?,?,,?,?,,,,,,,?,,?,,,?
Don't You Want Me,The Human League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream A Little Dream Of Me,The Mamas & The Papas,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams,The Cranberries,,,A,A,G,,A,,A,A,A,,A,A,A,,A,,,,,A,,A,,A,A,,,G,A,,,A,A,A,,,,,,,A,A,,G,G,,A,,,,,,,A,A,,A,,,,,,,,A,,,,,,,A,,,,,,G,A,A,,A,,A,A,A,,,,A,,,,A,?,,?,A,?,?,,?,,,,,,,,?,?,,,?,,,,,
Driving Home for Christmas,Chris Rea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter Sandman,Metallica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
Every Breath You Take,The Police,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ex's & Oh's,Elle King,,A,,,,A,,,,,,,,,,,,,,A,,,A,G,,,G,,,,,G,,,,,G,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,G,,,,G ,A,A,A,G,,,,A,,?,,A,?,,,,?,,?,,,?,,,?,,?,,?,,?,,,?,,,
Express Yourself,Madonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of the Tiger,Survivor,,,,,,A,,,,,,,,A,,,,,,,,,,,,,,G,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,,A,,,,,,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,?,,?,,,,?,,?,,,?,,,,?
Fairytale Of New York (feat. Kirsty MacColl),The Pogues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,,,,,,,
Faith,George Michael,,,,,,,,,,,,,,A,,,,,,,,,,A,,,,,,,,,,,A,,,A,,,,,,,,,,A,,,,,,A,,,,,A,,A,,,,,,,,,G,,,,,,A,,,,G,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,
Fast Car,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feliz Navidad,José Feliciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,A,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,?,,,,,,,,,,,,,,,,
Float On,Modest Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
Flowers,Miley Cyrus,A,,A,,,A,G,A,,,A,,,,,A,,,,G,,,,,,,,,,,,,,,,A,A,A,,A,A,,,A,,,A,A,,,,,,,A,,,,,A,G,A,,,,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowers Survive My Man,"Gloria Gaynor, Miley Cyrus, Bruno Mars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folsom Prison Blues,Johnny Cash,,,,,,,A,,G,,A,G,,A,,,,G,,G,,A,,,,,,,,,A,G,A,A,,,,A,A,,A,,A,,G,,,,A,,,,,,A,,,,G,A,,A,,,,,A,G,A,,,,A,A,,,,G,A,,A,A,A,A,A,A,,A,A,A,,,A,,,A,,?,,,?,?,,?,,,?,?,,,,,,,,,?,?,,,
Freedom! '90 (Edit),George Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday I'm In Love,The Cure,,,,,,,,,,G,,A,,A,,G,,,,,,,A,,,,,,,,,,,,,A,,,,A,,G,,,,,A,,A,,,,,,,,,,,,,G,,,,,,A,A,G,,,,A,A,,,A,G,,A,,,,,,,,,,,,,,A,,,,?,,,,?,?,?,,,,?,,,?,?,,,,,,,?,
